ts,gpu_util,gpu_mem_used
1771761077.988364,0.0,23260.25
1771761078.2415073,0.0,23260.25
1771761078.39268,0.0,23260.25
1771761078.6096945,0.0,23260.25
1771761078.846293,0.0,23260.25
1771761079.0741143,0.0,23260.25
1771761079.1748605,0.0,23260.25
1771761079.3079455,0.0,23260.25
1771761079.4603822,0.0,23260.25
1771761079.5882683,0.0,23260.25
1771761079.71516,0.0,23260.25
1771761079.8355196,0.0,23260.25
1771761079.9611917,0.0,23260.25
1771761080.0651443,0.0,23260.25
1771761080.1660168,0.0,23260.25
1771761080.2668793,45.0,23260.25
1771761080.3677351,45.0,23260.25
1771761080.4685922,100.0,23260.25
1771761080.5694458,100.0,23260.25
1771761080.6702929,100.0,23260.25
1771761080.7711322,100.0,23260.25
1771761080.871995,100.0,23260.25
1771761080.9728663,100.0,23260.25
1771761081.0739563,100.0,23260.25
1771761081.1748056,100.0,23260.25
1771761081.2756605,100.0,23260.25
1771761081.37669,100.0,23260.25
1771761081.4775288,100.0,23260.25
1771761081.5783908,100.0,23260.25
1771761081.679697,100.0,23260.25
1771761081.784374,100.0,23260.25
1771761081.8852227,100.0,23260.25
1771761081.9859881,100.0,23260.25
1771761082.0868456,100.0,23260.25
1771761082.1876018,100.0,23260.25
1771761082.288779,100.0,23260.25
1771761082.3895373,100.0,23260.25
1771761082.4903944,100.0,23260.25
1771761082.5911577,100.0,23260.25
1771761082.6920366,100.0,23260.25
1771761082.7930152,100.0,23260.25
1771761082.8938801,100.0,23260.25
1771761082.994656,100.0,23260.25
1771761083.0955148,100.0,23260.25
1771761083.1963685,100.0,23260.25
1771761083.2971382,100.0,23260.25
1771761083.3978512,73.0,23260.25
1771761083.4987488,73.0,23260.25
1771761083.8729959,0.0,23260.25
1771761083.9738324,0.0,23260.25
1771761084.0745811,92.0,23260.25
1771761084.1756961,92.0,23260.25
1771761084.2768137,100.0,23260.25
1771761084.3776643,100.0,23260.25
1771761084.4788852,100.0,23260.25
1771761084.584011,100.0,23260.25
1771761084.684878,100.0,23260.25
1771761084.785685,100.0,23260.25
1771761084.8865094,100.0,23260.25
1771761084.9873059,100.0,23260.25
1771761085.0881574,100.0,23260.25
1771761085.1889412,100.0,23260.25
1771761085.2897677,100.0,23260.25
1771761085.3905644,100.0,23260.25
1771761085.4913874,100.0,23260.25
1771761085.5921974,100.0,23260.25
1771761085.693031,100.0,23260.25
1771761085.7944312,74.0,23260.25
1771761085.895224,74.0,23260.25
1771761085.995961,12.0,23260.25
1771761086.0967903,12.0,23260.25
1771761086.1975527,25.0,23260.25
1771761086.2987196,25.0,23260.25
1771761086.4004138,17.0,23260.25
