ts,gpu_util,gpu_mem_used
1771738256.0169106,0.0,23260.25
1771738256.139518,0.0,23260.25
1771738256.2791665,0.0,23260.25
1771738256.4417067,0.0,23260.25
1771738256.5833523,0.0,23260.25
1771738256.7219138,0.0,23260.25
1771738256.822647,0.0,23260.25
1771738256.9232965,0.0,23260.25
1771738257.0260148,0.0,23260.25
1771738257.12667,0.0,23260.25
1771738257.2293396,0.0,23260.25
1771738257.3309646,0.0,23260.25
1771738257.4321175,0.0,23260.25
1771738257.5334008,62.0,23260.25
1771738257.6345174,62.0,23260.25
1771738257.7356668,100.0,23260.25
1771738257.836884,100.0,23260.25
1771738257.9377272,100.0,23260.25
1771738258.03858,100.0,23260.25
1771738258.1394515,100.0,23260.25
1771738258.2403116,100.0,23260.25
1771738258.3411698,100.0,23260.25
1771738258.442039,100.0,23260.25
1771738258.5556214,100.0,23260.25
1771738258.6568305,100.0,23260.25
1771738258.7576883,100.0,23260.25
1771738258.8585403,100.0,23260.25
1771738258.9593992,100.0,23260.25
1771738259.0602627,100.0,23260.25
1771738259.161117,100.0,23260.25
1771738259.2620344,100.0,23260.25
1771738259.3628852,100.0,23260.25
1771738259.4641123,100.0,23260.25
1771738259.5657122,98.0,23260.25
1771738259.666563,98.0,23260.25
1771738259.76769,0.0,23260.25
1771738259.8685277,0.0,23260.25
1771738259.9693813,0.0,23260.25
1771738260.0701847,0.0,23260.25
1771738260.1713915,56.0,23260.25
1771738260.275438,100.0,23260.25
1771738260.376321,100.0,23260.25
1771738260.477142,100.0,23260.25
1771738260.578011,100.0,23260.25
1771738260.6787965,100.0,23260.25
1771738260.7796826,100.0,23260.25
1771738260.8805013,100.0,23260.25
1771738260.9813523,100.0,23260.25
1771738261.082084,100.0,23260.25
1771738261.1829314,100.0,23260.25
1771738261.284142,100.0,23260.25
1771738261.3849647,100.0,23260.25
1771738261.4857588,100.0,23260.25
1771738261.586566,100.0,23260.25
1771738261.6874516,100.0,23260.25
1771738261.7883143,100.0,23260.25
1771738261.8891187,91.0,23260.25
1771738261.9903321,91.0,23260.25
1771738262.0916154,53.0,23260.25
1771738262.1928887,53.0,23260.25
1771738262.294142,100.0,23260.25
1771738262.3950298,100.0,23260.25
1771738262.495936,100.0,23260.25
1771738262.5968096,100.0,23260.25
1771738262.697683,100.0,23260.25
1771738262.7985508,100.0,23260.25
1771738262.899456,100.0,23260.25
1771738263.0003438,100.0,23260.25
1771738263.1012416,100.0,23260.25
1771738263.2021294,100.0,23260.25
1771738263.303018,100.0,23260.25
1771738263.4037745,100.0,23260.25
1771738263.5045192,44.0,23260.25
1771738263.612456,44.0,23260.25
1771738263.7136834,0.0,23260.25
1771738263.814557,0.0,23260.25
1771738263.9156482,0.0,23260.25
1771738264.0170503,0.0,23260.25
1771738264.1179042,71.0,23260.25
1771738264.2187717,71.0,23260.25
1771738264.319635,100.0,23260.25
1771738264.4204953,100.0,23260.25
1771738264.5213568,100.0,23260.25
1771738264.622186,100.0,23260.25
1771738264.7230148,100.0,23260.25
1771738264.823849,100.0,23260.25
1771738264.9247081,100.0,23260.25
1771738265.0256293,100.0,23260.25
1771738265.1265392,100.0,23260.25
1771738265.227425,100.0,23260.25
1771738265.3283045,100.0,23260.25
1771738265.4295833,100.0,23260.25
1771738265.5308378,80.0,23260.25
1771738265.6319778,80.0,23260.25
1771738265.7332306,0.0,23260.25
1771738265.8343763,0.0,23260.25
1771738265.935245,43.0,23260.25
1771738266.0360944,43.0,23260.25
1771738266.1369412,100.0,23260.25
