ts,gpu_util,gpu_mem_used
1771703952.97323,0.0,23260.25
1771703953.0983894,0.0,23260.25
1771703953.3503067,0.0,23260.25
1771703953.497053,0.0,23260.25
1771703953.6076198,0.0,23260.25
1771703953.7090907,0.0,23260.25
1771703953.8102045,0.0,23260.25
1771703953.9114084,0.0,23260.25
1771703954.0144165,0.0,23260.25
1771703954.115245,0.0,23260.25
1771703954.232069,0.0,23260.25
1771703954.3884685,0.0,23260.25
1771703954.4892132,0.0,23260.25
1771703954.5900073,0.0,23260.25
1771703954.6916816,0.0,23260.25
1771703954.79408,0.0,23260.25
1771703954.8974652,0.0,23260.25
1771703954.9982846,0.0,23260.25
1771703955.0991385,0.0,23260.25
1771703955.2000153,0.0,23260.25
1771703955.3008652,91.0,23260.25
1771703955.4018028,91.0,23260.25
1771703955.5027688,100.0,23260.25
1771703955.603614,100.0,23260.25
1771703955.704456,100.0,23260.25
1771703955.805674,100.0,23260.25
1771703955.9069736,100.0,23260.25
1771703956.008241,100.0,23260.25
1771703956.1093922,100.0,23260.25
1771703956.2105548,100.0,23260.25
1771703956.3114386,100.0,23260.25
1771703956.4122963,100.0,23260.25
1771703956.5131562,100.0,23260.25
1771703956.6140108,100.0,23260.25
1771703956.714867,100.0,23260.25
1771703956.8157232,100.0,23260.25
1771703956.916583,100.0,23260.25
1771703957.0174165,100.0,23260.25
1771703957.118253,100.0,23260.25
1771703957.219091,100.0,23260.25
1771703957.3199391,66.0,23260.25
1771703957.4207692,66.0,23260.25
1771703957.5216084,0.0,23260.25
1771703957.6224902,0.0,23260.25
1771703957.7236288,0.0,23260.25
1771703957.8248177,0.0,23260.25
1771703957.9260406,95.0,23260.25
1771703958.0272658,95.0,23260.25
1771703958.128549,100.0,23260.25
1771703958.2296627,100.0,23260.25
1771703958.3305342,100.0,23260.25
1771703958.4314241,100.0,23260.25
1771703958.5322602,100.0,23260.25
1771703958.633122,100.0,23260.25
1771703958.7339895,100.0,23260.25
1771703958.8348396,100.0,23260.25
1771703958.935693,100.0,23260.25
1771703959.036551,100.0,23260.25
1771703959.1374047,100.0,23260.25
1771703959.2384336,100.0,23260.25
1771703959.3392797,100.0,23260.25
1771703959.4401531,100.0,23260.25
1771703959.5411363,100.0,23260.25
1771703959.6423755,100.0,23260.25
1771703959.743233,48.0,23260.25
1771703959.8444424,48.0,23260.25
1771703959.945688,98.0,23260.25
1771703960.048844,100.0,23260.25
1771703960.1496966,100.0,23260.25
1771703960.2504601,100.0,23260.25
1771703960.3513513,100.0,23260.25
1771703960.4525309,100.0,23260.25
1771703960.5533605,100.0,23260.25
1771703960.654175,100.0,23260.25
1771703960.7559094,100.0,23260.25
1771703960.8567014,78.0,23260.25
1771703960.9580593,78.0,23260.25
1771703961.0593283,0.0,23260.25
1771703961.1601684,0.0,23260.25
1771703961.26104,0.0,23260.25
1771703961.361849,0.0,23260.25
1771703961.4626672,0.0,23260.25
1771703961.5638986,0.0,23260.25
1771703961.66956,91.0,23260.25
1771703961.770396,91.0,23260.25
1771703961.871265,100.0,23260.25
1771703961.9721103,100.0,23260.25
1771703962.0729363,100.0,23260.25
1771703962.1737595,100.0,23260.25
1771703962.274587,100.0,23260.25
1771703962.3754826,100.0,23260.25
1771703962.4763267,100.0,23260.25
1771703962.5771875,100.0,23260.25
1771703962.6780653,100.0,23260.25
1771703962.7789032,100.0,23260.25
1771703962.8797264,100.0,23260.25
1771703962.980625,100.0,23260.25
1771703963.0814497,100.0,23260.25
1771703963.1823056,100.0,23260.25
