ts,gpu_util,gpu_mem_used
1771726622.67538,0.0,23260.25
1771726622.9330492,0.0,23260.25
1771726623.0882752,0.0,23260.25
1771726623.3170557,0.0,23260.25
1771726623.4458296,0.0,23260.25
1771726623.6130161,0.0,23260.25
1771726623.7899806,0.0,23260.25
1771726623.8907917,0.0,23260.25
1771726623.991515,0.0,23260.25
1771726624.0923638,1.0,23260.25
1771726624.1935964,1.0,23260.25
1771726624.2944682,99.0,23260.25
1771726624.39539,99.0,23260.25
1771726624.4965782,100.0,23260.25
1771726624.6038394,100.0,23260.25
1771726624.7045863,100.0,23260.25
1771726624.8053656,100.0,23260.25
1771726624.9062223,100.0,23260.25
1771726625.0069792,100.0,23260.25
1771726625.1078477,100.0,23260.25
1771726625.2086034,100.0,23260.25
1771726625.3101351,100.0,23260.25
1771726625.4109125,100.0,23260.25
1771726625.5117993,100.0,23260.25
1771726625.613307,100.0,23260.25
1771726625.714124,100.0,23260.25
1771726625.8149195,35.0,23260.25
1771726625.9161294,35.0,23260.25
1771726626.017463,13.0,23260.25
1771726626.1186728,13.0,23260.25
1771726626.220281,19.0,23260.25
1771726626.3214002,19.0,23260.25
1771726626.4222574,100.0,23260.25
1771726626.523125,100.0,23260.25
1771726626.6239913,100.0,23260.25
1771726626.7248528,100.0,23260.25
1771726626.8257127,100.0,23260.25
1771726626.9265573,100.0,23260.25
1771726627.0274472,100.0,23260.25
1771726627.1282904,100.0,23260.25
1771726627.229165,100.0,23260.25
1771726627.330023,100.0,23260.25
1771726627.4308884,100.0,23260.25
1771726627.531756,100.0,23260.25
1771726627.632606,100.0,23260.25
1771726627.7334635,100.0,23260.25
1771726627.834336,100.0,23260.25
1771726627.9355257,100.0,23260.25
1771726628.036663,100.0,23260.25
1771726628.1377559,100.0,23260.25
1771726628.2389538,48.0,23260.25
1771726628.3466988,48.0,23260.25
1771726628.4475625,25.0,23260.25
1771726628.548427,25.0,23260.25
1771726628.6492982,12.0,23260.25
1771726628.7501602,12.0,23260.25
1771726628.8510344,26.0,23260.25
1771726628.9519346,26.0,23260.25
1771726629.052803,100.0,23260.25
1771726629.153648,100.0,23260.25
1771726629.2545347,100.0,23260.25
1771726629.3557236,100.0,23260.25
1771726629.4570692,100.0,23260.25
1771726629.5583282,100.0,23260.25
1771726629.6592085,100.0,23260.25
1771726629.7600107,100.0,23260.25
1771726629.8608422,79.0,23260.25
1771726629.9617007,79.0,23260.25
1771726630.0626607,12.0,23260.25
1771726630.1634996,12.0,23260.25
1771726630.2644083,14.0,23260.25
1771726630.3652868,14.0,23260.25
1771726630.4661264,95.0,23260.25
1771726630.5669994,95.0,23260.25
1771726630.667885,100.0,23260.25
1771726630.7687407,100.0,23260.25
1771726630.8697455,100.0,23260.25
1771726630.970709,100.0,23260.25
1771726631.0716171,100.0,23260.25
1771726631.1725037,100.0,23260.25
1771726631.2733617,100.0,23260.25
1771726631.3746488,100.0,23260.25
1771726631.4759338,100.0,23260.25
1771726631.577073,100.0,23260.25
1771726631.6782022,100.0,23260.25
1771726631.779003,100.0,23260.25
1771726631.8799088,100.0,23260.25
1771726631.980768,100.0,23260.25
1771726632.0816483,100.0,23260.25
1771726632.182674,100.0,23260.25
1771726632.2834485,100.0,23260.25
1771726632.3847198,100.0,23260.25
1771726632.4855845,97.0,23260.25
1771726632.5863407,97.0,23260.25
1771726632.687145,0.0,23260.25
1771726632.7881775,0.0,23260.25
1771726632.8889513,0.0,23260.25
1771726632.9897532,0.0,23260.25
1771726633.0907357,75.0,23260.25
1771726633.1914682,75.0,23260.25
1771726633.2921762,100.0,23260.25
1771726633.3929596,100.0,23260.25
1771726633.4941158,100.0,23260.25
1771726633.5991843,100.0,23260.25
1771726633.6999545,100.0,23260.25
1771726633.8006446,100.0,23260.25
1771726633.9013734,100.0,23260.25
1771726634.0021317,100.0,23260.25
1771726634.1029816,100.0,23260.25
1771726634.2038083,100.0,23260.25
1771726634.304665,100.0,23260.25
